SubjectID,StimulusType,response,RT
9,1,1,314
9,1,1,297
9,1,1,264
9,0,1,362
9,1,1,344
9,1,1,384
9,1,1,312
9,1,1,315
9,1,1,328
9,1,1,298
9,1,1,363
9,1,1,314
9,0,0,0
9,1,1,297
9,0,0,0
9,1,1,311
9,1,1,365
9,1,1,299
9,1,1,461
9,1,1,297
9,0,0,0
9,1,1,315
9,1,1,264
9,1,1,265
9,1,1,295
9,1,1,248
9,1,1,249
9,1,1,381
9,1,1,245
9,0,1,230
9,1,1,316
9,1,1,299
9,0,0,0
9,1,1,310
9,0,1,131
9,1,1,446
9,1,1,315
9,1,1,347
9,1,1,328
9,1,1,313
9,0,0,0
9,1,1,282
9,1,1,281
9,0,1,281
9,1,1,347
9,1,1,346
9,1,1,327
9,1,1,297
9,0,0,0
9,0,0,0
9,0,0,0
9,0,0,0
9,1,1,296
9,1,1,398
9,1,1,298
9,1,1,330
9,1,1,314
9,0,0,0
9,1,1,362
9,1,1,330
9,0,0,0
9,1,1,348
9,0,0,0
9,0,0,0
9,1,1,414
9,0,0,0
9,1,1,296
9,1,1,314
9,1,1,262
9,1,1,313
9,0,0,0
9,1,1,265
9,1,1,329
9,1,1,248
9,1,1,265
9,1,1,314
9,1,1,265
9,1,1,248
9,1,1,264
9,1,1,132
9,1,1,249
9,0,1,33
9,1,1,280
9,1,1,282
9,1,1,265
9,1,1,279
9,1,1,332
9,1,1,346
9,1,1,297
9,1,1,347
9,1,1,280
9,1,1,297
9,1,1,314
9,1,1,281
9,1,1,248
9,1,1,247
9,1,1,247
9,1,1,264
9,1,1,345
9,1,1,296
