,SubjectID,StimulusType,response,RT
0,3,1,1,404
1,3,1,1,354
2,3,0,0,0
3,3,0,0,0
4,3,1,1,483
5,3,0,0,0
6,3,1,0,0
7,3,0,0,0
8,3,0,0,0
9,3,1,1,387
10,3,1,1,369
11,3,1,1,403
12,3,1,1,384
13,3,1,1,434
14,3,1,1,418
15,3,1,1,338
16,3,1,1,323
17,3,1,1,401
18,3,1,1,371
19,3,0,0,0
20,3,1,0,0
21,3,1,1,787
22,3,1,1,372
23,3,1,1,433
24,3,1,1,354
25,3,1,1,386
26,3,1,1,400
27,3,1,1,436
28,3,0,1,416
29,3,1,1,562
30,3,1,1,368
31,3,1,1,419
32,3,0,0,0
33,3,1,1,418
34,3,0,1,372
35,3,1,1,419
36,3,1,1,369
37,3,1,1,404
38,3,1,1,369
39,3,1,1,338
40,3,1,1,339
41,3,1,1,369
42,3,1,1,354
43,3,1,1,418
44,3,1,1,353
45,3,1,1,338
46,3,1,1,352
47,3,1,1,354
48,3,1,1,387
49,3,1,1,400
50,3,1,1,403
51,3,0,0,0
52,3,0,0,0
53,3,1,0,0
54,3,1,1,531
55,3,1,1,548
56,3,1,1,563
57,3,0,1,613
58,3,1,1,483
59,3,1,1,561
60,3,1,1,755
61,3,1,1,498
62,3,1,1,758
63,3,1,1,386
64,3,0,1,370
65,3,1,1,788
66,3,1,1,803
67,3,1,1,480
68,3,1,1,387
69,3,1,1,338
70,3,1,1,289
71,3,1,1,339
72,3,0,0,0
73,3,1,0,0
74,3,1,1,530
75,3,0,0,0
76,3,1,0,0
77,3,1,1,627
78,3,1,1,400
79,3,1,1,419
80,3,1,1,401
81,3,1,1,402
82,3,1,1,404
83,3,0,0,0
84,3,1,0,0
85,3,1,1,498
86,3,1,1,355
87,3,1,1,482
88,3,0,1,436
89,3,0,1,16
90,3,1,0,0
91,3,1,1,482
92,3,1,1,419
93,3,1,1,354
94,3,1,1,707
95,3,0,1,401
96,3,1,1,16
97,3,0,1,0
98,3,1,0,0
99,3,1,1,482
