SubjectID,StimulusType,response,RT
21131504,1,1,427
21131504,1,1,289
21131504,1,1,267
21131504,1,1,408
21131504,1,1,388
21131504,1,1,369
21131504,0,0,0
21131504,0,0,0
21131504,1,1,420
21131504,1,1,389
21131504,1,1,358
21131504,1,1,304
21131504,0,0,0
21131504,1,1,267
21131504,1,1,238
21131504,0,1,288
21131504,1,1,366
21131504,1,1,389
21131504,0,0,0
21131504,0,0,0
21131504,1,1,371
21131504,1,1,322
21131504,1,1,337
21131504,0,1,307
21131504,1,1,370
21131504,1,1,427
21131504,0,0,0
21131504,1,1,288
21131504,1,1,459
21131504,1,1,341
21131504,1,1,424
21131504,1,1,353
21131504,1,1,354
21131504,0,0,0
21131504,1,1,354
21131504,1,1,323
21131504,1,1,287
21131504,0,1,304
21131504,1,1,338
21131504,1,1,308
21131504,1,1,368
21131504,1,1,338
21131504,1,1,359
21131504,1,1,336
21131504,1,1,356
21131504,1,1,374
21131504,0,0,0
21131504,1,1,354
21131504,1,1,337
21131504,1,1,333
21131504,1,1,321
21131504,1,1,377
21131504,0,0,0
21131504,1,1,354
21131504,1,1,341
21131504,1,1,287
21131504,1,1,340
21131504,1,1,355
21131504,1,1,343
21131504,1,1,355
21131504,1,1,405
21131504,1,1,403
21131504,0,0,0
21131504,0,0,0
21131504,1,1,546
21131504,1,1,337
21131504,1,1,337
21131504,0,0,0
21131504,1,1,321
21131504,1,1,357
21131504,1,1,339
21131504,1,1,392
21131504,1,1,396
21131504,0,0,0
21131504,1,1,322
21131504,1,1,290
21131504,1,1,391
21131504,1,1,352
21131504,0,0,0
21131504,1,1,371
21131504,1,1,326
21131504,1,1,356
21131504,1,1,374
21131504,0,0,0
21131504,0,0,0
21131504,1,1,389
21131504,1,1,324
21131504,1,1,341
21131504,1,1,355
21131504,1,1,341
21131504,1,1,324
21131504,1,1,272
21131504,1,1,323
21131504,1,1,340
21131504,0,0,0
21131504,1,1,359
21131504,1,1,318
21131504,1,1,307
21131504,1,1,337
21131504,1,1,341
