SubjectID,StimulusType,response,RT
5,1,1,425
5,1,1,438
5,1,1,317
5,0,0,0
5,1,1,362
5,1,1,306
5,0,0,0
5,1,1,371
5,1,1,324
5,1,1,338
5,1,1,316
5,1,1,343
5,1,1,440
5,1,1,340
5,1,1,393
5,1,1,393
5,1,1,407
5,1,1,391
5,1,1,369
5,1,1,375
5,1,1,337
5,1,1,349
5,1,1,336
5,1,1,408
5,1,1,337
5,1,1,408
5,1,1,355
5,1,1,290
5,1,1,374
5,1,1,306
5,0,0,0
5,0,0,0
5,1,1,389
5,1,1,391
5,0,0,0
5,1,1,442
5,1,1,392
5,1,1,337
5,1,1,387
5,1,1,323
5,0,0,0
5,1,1,374
5,0,0,0
5,1,1,360
5,0,0,0
5,1,1,423
5,1,1,360
5,0,0,0
5,1,1,388
5,0,0,0
5,1,1,409
5,0,0,0
5,1,1,407
5,1,1,474
5,1,1,409
5,1,1,474
5,1,1,372
5,1,1,442
5,0,0,0
5,1,1,385
5,1,1,409
5,0,0,0
5,1,1,390
5,1,1,387
5,1,1,440
5,1,1,406
5,1,1,388
5,1,1,373
5,1,1,411
5,1,1,371
5,1,1,408
5,0,0,0
5,0,0,0
5,1,1,465
5,1,1,485
5,0,0,0
5,1,1,459
5,0,0,0
5,1,1,408
5,1,1,492
5,1,1,421
5,1,1,387
5,1,1,356
5,1,1,372
5,0,0,0
5,1,1,422
5,1,1,391
5,1,1,507
5,1,1,385
5,1,1,433
5,1,1,421
5,0,0,0
5,1,1,455
5,0,0,0
5,1,1,370
5,1,1,373
5,1,1,357
5,1,1,354
5,1,1,356
5,1,1,491
