SubjectID,StimulusType,response,RT
8,1,0,0
8,1,1,495
8,0,0,0
8,1,1,478
8,1,1,413
8,1,1,446
8,1,1,313
8,0,0,0
8,1,1,380
8,1,1,344
8,1,1,346
8,1,1,347
8,1,1,282
8,0,0,0
8,1,1,311
8,1,1,250
8,0,0,0
8,1,1,346
8,1,1,313
8,1,1,265
8,1,1,280
8,1,1,262
8,1,1,315
8,1,1,311
8,1,1,280
8,1,1,216
8,0,1,148
8,1,1,295
8,1,1,333
8,1,1,296
8,1,1,297
8,1,1,281
8,1,1,311
8,1,1,281
8,1,1,312
8,1,1,296
8,0,0,0
8,1,1,329
8,1,1,282
8,1,1,297
8,1,1,331
8,1,1,327
8,0,0,0
8,1,1,313
8,1,1,262
8,1,1,283
8,1,1,196
8,1,1,215
8,1,1,214
8,0,1,164
8,1,1,313
8,0,0,0
8,1,1,281
8,1,1,414
8,1,1,316
8,1,1,394
8,1,1,393
8,1,1,396
8,1,1,326
8,1,1,362
8,0,0,0
8,1,1,279
8,1,1,311
8,0,0,0
8,1,1,347
8,1,1,296
8,1,1,280
8,1,1,298
8,0,0,0
8,0,0,0
8,1,1,395
8,1,1,413
8,0,0,0
8,1,1,330
8,1,1,297
8,1,1,299
8,0,0,0
8,1,1,346
8,1,1,314
8,1,1,314
8,1,1,312
8,1,1,313
8,0,0,0
8,1,1,360
8,1,1,295
8,1,1,262
8,0,1,1500
8,1,1,412
8,0,1,250
8,1,1,294
8,1,1,346
8,1,1,345
8,1,1,367
8,1,1,328
8,1,1,412
8,1,1,380
8,0,0,0
8,1,1,382
8,1,1,382
8,0,0,0
