,SubjectID,StimulusType,response,RT
0,1,0,0,0
1,1,1,1,506
2,1,1,1,428
3,1,1,1,318
4,1,1,1,401
5,1,1,1,366
6,1,0,0,0
7,1,0,0,0
8,1,1,1,401
9,1,1,0,0
10,1,1,1,316
11,1,1,1,333
12,1,1,1,320
13,1,1,1,152
14,1,1,1,384
15,1,1,1,309
16,1,1,1,300
17,1,1,1,266
18,1,1,1,121
19,1,0,1,165
20,1,1,1,518
21,1,0,0,0
22,1,1,1,339
23,1,1,1,323
24,1,1,1,416
25,1,1,1,334
26,1,1,1,273
27,1,1,1,319
28,1,1,1,288
29,1,1,1,268
30,1,1,1,315
31,1,1,1,143
32,1,1,1,215
33,1,1,1,300
34,1,0,1,52
35,1,1,1,421
36,1,1,1,350
37,1,1,1,253
38,1,1,1,100
39,1,1,1,203
40,1,1,1,302
41,1,0,1,168
42,1,1,1,496
43,1,1,1,236
44,1,1,1,300
45,1,1,1,118
46,1,1,1,183
47,1,1,1,303
48,1,0,1,189
49,1,1,1,453
50,1,1,1,373
51,1,1,1,335
52,1,1,1,329
53,1,0,1,108
54,1,1,1,452
55,1,1,1,317
56,1,1,1,116
57,1,1,1,338
58,1,1,1,267
59,1,1,1,18
60,1,1,1,185
61,1,1,1,33
62,1,1,1,34
63,1,0,1,62
64,1,1,1,333
65,1,1,1,36
66,1,1,1,217
67,1,0,1,18
68,1,1,1,435
69,1,1,1,268
70,1,1,1,87
71,1,1,1,286
72,1,1,1,322
73,1,0,1,303
74,1,0,1,433
75,1,1,1,356
76,1,1,1,305
77,1,1,1,297
78,1,0,1,267
79,1,0,0,0
80,1,0,0,0
81,1,1,1,487
82,1,1,1,385
83,1,1,1,254
84,1,1,1,303
85,1,1,1,219
86,1,0,1,147
87,1,1,1,453
88,1,1,1,192
89,1,0,1,270
90,1,0,0,0
91,1,1,1,426
92,1,1,1,320
93,1,1,1,367
94,1,1,1,318
95,1,0,0,0
96,1,1,1,349
97,1,1,1,333
98,1,1,1,307
99,1,1,1,334
100,2,1,1,944
101,2,1,0,0
102,2,1,1,543
103,2,1,1,452
104,2,1,1,358
105,2,1,1,319
106,2,1,1,339
107,2,1,1,321
108,2,1,1,337
109,2,1,1,325
110,2,1,1,337
111,2,1,1,303
112,2,1,1,307
113,2,1,1,285
114,2,1,1,285
115,2,1,1,271
116,2,0,1,270
117,2,0,0,0
118,2,0,0,0
119,2,1,1,491
120,2,1,1,574
121,2,1,1,354
122,2,0,0,0
123,2,1,1,742
124,2,1,1,474
125,2,1,1,454
126,2,1,0,0
127,2,1,1,137
128,2,0,1,319
129,2,1,0,0
130,2,0,0,0
131,2,1,1,607
132,2,1,1,409
133,2,1,1,318
134,2,1,1,285
135,2,1,1,305
136,2,0,1,272
137,2,1,1,744
138,2,1,1,357
139,2,0,1,286
140,2,0,0,0
141,2,0,0,0
142,2,0,0,0
143,2,0,0,0
144,2,0,0,0
145,2,1,1,812
146,2,1,1,338
147,2,1,1,271
148,2,1,1,273
149,2,1,1,324
150,2,1,1,258
151,2,1,1,369
152,2,0,1,255
153,2,1,0,0
154,2,1,1,562
155,2,1,1,371
156,2,1,1,288
157,2,0,1,288
158,2,1,0,0
159,2,1,1,253
160,2,1,1,289
161,2,1,1,290
162,2,1,1,273
163,2,1,1,237
164,2,1,1,306
165,2,1,1,255
166,2,1,1,274
167,2,0,1,256
168,2,1,0,0
169,2,1,1,424
170,2,1,1,321
171,2,1,1,319
172,2,1,1,320
173,2,1,1,336
174,2,1,1,273
175,2,1,1,236
176,2,1,1,272
177,2,1,1,273
178,2,1,1,257
179,2,1,1,254
180,2,1,1,275
181,2,1,1,267
182,2,1,1,254
183,2,1,1,239
184,2,1,1,286
185,2,1,1,268
186,2,1,1,402
187,2,1,1,370
188,2,0,0,0
189,2,0,0,0
190,2,1,0,0
191,2,0,1,307
192,2,1,0,0
193,2,1,1,200
194,2,0,1,256
195,2,1,0,0
196,2,1,1,253
197,2,1,1,272
198,2,1,1,290
199,2,1,1,252
200,3,1,1,449
201,3,1,1,515
202,3,1,1,434
203,3,1,1,363
204,3,1,1,350
205,3,1,1,448
206,3,1,1,469
207,3,1,1,465
208,3,1,1,486
209,3,1,1,467
210,3,1,1,449
211,3,1,1,534
212,3,1,1,501
213,3,1,1,482
214,3,1,1,455
215,3,1,1,434
216,3,1,1,471
217,3,1,1,464
218,3,1,1,465
219,3,0,0,0
220,3,1,1,482
221,3,1,1,519
222,3,0,0,0
223,3,1,1,522
224,3,1,1,549
225,3,1,1,487
226,3,1,1,464
227,3,1,1,451
228,3,1,1,398
229,3,0,0,0
230,3,1,1,600
231,3,1,1,514
232,3,1,1,467
233,3,1,1,467
234,3,1,1,517
235,3,1,1,451
236,3,1,1,431
237,3,1,1,417
238,3,1,1,435
239,3,1,1,550
240,3,1,1,483
241,3,1,1,466
242,3,1,1,500
243,3,0,0,0
244,3,1,1,487
245,3,1,1,517
246,3,1,1,469
247,3,1,1,468
248,3,1,1,434
249,3,1,1,515
250,3,1,1,467
251,3,1,1,381
252,3,1,0,0
253,3,1,1,353
254,3,1,1,448
255,3,0,0,0
256,3,1,1,535
257,3,1,1,434
258,3,1,1,537
259,3,0,0,0
260,3,1,1,334
261,3,0,0,0
262,3,1,1,418
263,3,1,1,551
264,3,1,1,421
265,3,1,1,466
266,3,1,1,614
267,3,1,1,502
268,3,0,0,0
269,3,1,1,450
270,3,1,1,446
271,3,0,0,0
272,3,1,1,353
273,3,0,0,0
274,3,0,1,381
275,3,1,1,719
276,3,1,1,500
277,3,0,0,0
278,3,0,0,0
279,3,1,1,665
280,3,1,1,602
281,3,1,0,0
282,3,0,0,0
283,3,1,1,318
284,3,0,0,0
285,3,0,0,0
