,SubjectID,StimulusType,RT,accuracy
0,7001,0,181.83333333333334,0.4
1,7001,1,297.1645569620253,0.9875
2,7002,0,278.77777777777777,0.55
3,7002,1,351.16901408450707,0.8875
4,7003,0,381.0,0.95
5,7003,1,483.4935064935065,0.9625
6,7004,0,299.0,0.9
7,7004,1,336.55,1.0
8,7005,0,386.0,0.95
9,7005,1,323.275,1.0
10,7006,0,373.75,0.8
11,7006,1,466.3150684931507,0.9125
12,7007,0,523.2857142857143,0.5
13,7007,1,502.0571428571429,0.813953488372093
14,7008,0,420.77777777777777,0.35714285714285715
15,7008,1,402.3376623376623,0.8953488372093024
